Timestamps,CM2_PV_PRODUCT,CM2_PV_BE01_CURRENT,CM2_PV_BE02_POWER,CM2_PV_BF01_OUT_TEMPERATURE,CM2_PV_BF01_PRESSURE,CM2_PV_BF01_DIF_PRESSURE,CM2_PV_BF01_DIF_PRESSURE1,CM2_FLOW_RATE_COAL,CM2_PV_CLA01_POWER,CM2_PV_CLA01_SPEED,CM2_SP_CLA01_SPEED,CM2_PV_DA01_POSITION,CM2_SP_DA01_POSITION,CM2_PV_DA02_POSITION,CM2_SP_PRESS_MODE,CM2_SP_PRESS_AUTO,CM2_SP_PRESS_MANUAL,CM2_PV_FN01_POWER,CM2_SP_GA01_SPM,CM2_PV_HG01_TEMPERATURE,CM2_PV_HG01_TEMPERATURE1,CM2_PV_HG01_TEMPERATURE2,CM2_PV_HYS01_PRESSURE,CM2_PV_HYS01_PRESSURE1,CM2_SP_RB01_MILL_TOTAL_FEED,CM2_SP_RB01_MODE_TOTAL_FEED,CM2_SP_RB01_SPA_TOTAL_FEED,CM2_SP_RB01_TOTAL_FEED,CM2_PV_RB01_TOTAL_FEED,CM2_PV_RF01_CURRENT,CM2_SP_VRM01_TEMP_MODE,CM2_SP_VRM01_TEMP_AUTO,CM2_SP_VRM01_TEMP_MANUAL,CM2_SP_VRM01_PRESS_GRIDING_1_3,CM2_SP_VRM01_PRESS_GRIDING_2_4,CM2_PV_VRM01_INLET_TEMPERATURE,CM2_PV_VRM01_OUTLET_TEMPERATURE,CM2_PV_VRM01_POWER,CM2_PV_VRM01_IN_PRESS,CM2_PV_VRM01_VIBRATION,CM2_PV_VRM01_OUT_ PRESS,CM2_PV_VRM01_DIFF_PRESSURE,CM2_PV_VRM01_POSITION1,CM2_PV_VRM01_POSITION2,CM2_PV_VRM01_POSITION3,CM2_PV_VRM01_POSITION4,CM2_PV_VRM01_VIBRATION1,CM2_SP_WI01_WATER_INJECTION,CM2_PV_WI01_WATER_INJECTION,CM2_AGREGADO_0,CM2_AGREGADO_1,CM2_AGREGADO_2,CM2_CALCARIO,CM2_CLINQUER,CM2_CLINQUERBW,CM2_ESCORIA,CM2_ESCORIA_DRY_PIT,CM2_GESSO,CM2_MIX,CM2_POZOLANA,CM2_LB_FINENESS_CPIIF,CM2_LB_FINENESS_CPIII,CM2_LB_FINENESS_CPVARI,CM2_LB_BLAINE_CPIIF,CM2_LB_BLAINE_CPIII,CM2_LB_BLAINE_CPVARI,CM2_ST_CLA01_SPEED,CM2_ST_DA01_POSITION,CM2_ST_WI01_WATER_INJECTION,CM2_ST_VRM01_PRESS_GRIDING_1_3,CM2_ST_RB01_TOTAL_FEED,CM2_ST_GAS01_ADDITIVE_INJECTION,CM2_ST_DA02_SPA_PRESS,CM2_PV_FLOW_CALCARIO,CM2_PV_FLOW_CLINQUER,CM2_PV_FLOW_ESCORIA,CM2_PV_FLOW_GESSO,CM2_PV_FLOW_MIX,CM2_PV_FLOW_POZOLANA,CM2_ST_IA_ENABLE,CM2_ST_IA_READY,CM2_ST_IA_USE,CM2_IA_CLA01_SP_SPEED,CM2_IA_DA01_SP_POSITION,CM2_IA_DA02_SPA_PRESS,CM2_IA_GAS01_SP_FLOW_AID,CM2_IA_RB01_SP_TOTAL_FEED,CM2_IA_VRM01_SP_PRESS_GRIDING,CM2_IA_WI01_SP_WATER_INJECTION,CM2_IA_SC01_SPA_TEMP_OUT
16/01/2025 00:00:00,6,40.08009,48.9698334,96.01218,-81.67315,13.10448,4.35860538,868.43335,36.10268,1215.365,68.0,86.0571,86.0,91.99172,1.0,-5.357325,90.0,1256,358.199982,0.0,107.581772,785.767944,5.442437,5.43553638,85.0,6.0,40.9224854,85.0,85.08071,59.02341,1.0,98.0,48.0,5.6,5.6,121.875969,101.637482,1581,-5.546069,5.112208,-46.4672966,40.81042,142.955643,47.0709763,42.991127,31.0177441,27.0621052,2800.0,2848.30469,0.0,1.0,1.0,3.46,0.0,0.0,3.23,1.0,9.0,1.0,0.0,13.3,5.9,5.4,4580,4490.0,4360.0,0,0,0,0,1,0,0,19.00066,63.2213,0.0,3.53591943,0.0,0.0,1,1,1,68.0,86.0,-5.565422,25.9740257,85.0,5.6,2800.0,98.0
16/01/2025 00:00:30,6,42.6507149,56.2292366,96.0204849,-81.20612,13.1968193,4.324397,868.3466,37.7964172,1213.67847,68.0,86.05725,86.0,91.99152,1.0,-5.678212,90.0,1263,358.199982,0.0,107.592155,785.3854,5.44230652,5.43527651,85.0,6.0,40.92982,85.0,86.3861542,59.02549,1.0,98.0,48.0,5.6,5.6,121.195145,101.163269,1526,-5.66860533,5.93583441,-46.5228424,40.8551826,134.958237,48.9880676,38.9940338,34.9880676,36.9701653,2800.0,2848.562,0.0,1.0,1.0,3.46,0.0,0.0,3.23,1.0,9.0,1.0,0.0,13.3,5.9,5.4,4580,4490.0,4360.0,0,0,0,0,1,0,0,19.0512753,63.8517456,0.0,3.53599334,0.0,0.0,1,1,1,68.0,86.0,-4.98977661,25.9740257,85.0,5.6,2800.0,98.0
16/01/2025 00:01:00,6,39.7263,55.2041664,96.0288,-81.12543,13.3040333,4.297741,868.5999,36.4055557,1214.56689,68.0,86.05741,86.0,91.99133,1.0,-5.52962732,90.0,1266,358.199982,0.0,107.602547,785.0028,5.442176,5.43501663,85.0,6.0,40.599884,85.0,85.62148,57.2646179,1.0,98.0,48.0,5.6,5.6,120.966911,101.215919,1655,-5.51180124,4.766958,-46.1627464,40.69704,134.979172,48.01388,39.01388,32.0,27.33611,2800.0,2848.81934,0.0,1.0,1.0,3.46,0.0,0.0,3.23,1.0,9.0,1.0,0.0,13.3,5.9,5.4,4580,4490.0,4360.0,0,0,0,0,1,0,0,19.0930233,63.306057,0.0,3.53606749,0.0,0.0,1,1,1,68.0,86.0,-5.637226,25.9740257,85.0,5.6,2800.0,98.0
16/01/2025 00:01:30,6,40.8088226,57.8638725,96.03711,-80.9111557,13.6630831,4.26822,868.938232,36.9951363,1213.8573,68.0,86.05756,86.0,91.9911346,1.0,-5.47587061,90.0,1274,358.199982,0.0,107.61293,783.675659,5.44204473,5.43475676,85.0,6.0,40.54864,85.0,84.4833,58.40708,1.0,98.0,48.0,5.6,5.6,121.085022,101.34967,1533,-5.51841736,4.814509,-46.0635071,40.4773331,127.992027,48.0208435,38.9791565,33.0069466,25.0349674,2800.0,2849.07666,0.0,1.0,1.0,3.46,0.0,0.0,3.23,1.0,9.0,1.0,0.0,13.3,5.9,5.4,4580,4490.0,4360.0,0,0,0,0,1,0,0,19.0102921,62.2327881,0.0,3.5361414,0.0,0.0,1,1,1,68.0,86.0,-5.63394928,25.9740257,85.0,5.6,2800.0,98.0
16/01/2025 00:02:00,6,40.07651,55.2085152,96.04542,-80.63554,13.4220228,3.39614463,869.108154,36.4008141,1214.48108,68.0,86.05772,86.0,91.99094,1.0,-5.52687454,90.0,1267,358.199982,0.0,107.623322,781.1119,5.441914,5.434497,85.0,6.0,39.7811928,85.0,85.25572,58.14625,1.0,98.0,48.0,5.6,5.6,121.203133,101.483421,1468,-5.456759,5.28781748,-45.2426872,39.7945061,132.0,49.995945,44.9797325,31.9959469,31.9878387,2800.0,2849.334,0.0,1.0,1.0,3.46,0.0,0.0,3.23,1.0,9.0,1.0,0.0,13.3,5.9,5.4,4580,4490.0,4360.0,0,0,0,0,1,0,0,18.91231,62.3544235,0.0,3.53621554,0.0,0.0,1,1,1,68.0,86.0,-5.55981064,25.9740257,85.0,5.6,2800.0,98.0
16/01/2025 00:02:30,6,40.4411774,53.6189537,96.05373,-81.58225,12.944025,3.80738068,869.533569,37.3981857,1213.40894,68.0,86.05788,86.0,91.99074,1.0,-5.583436,90.0,1270,358.199982,0.0,107.633705,778.5481,5.441783,5.434237,85.0,6.0,41.1149368,85.0,84.54397,58.1408768,1.0,98.0,48.0,5.6,5.6,121.321243,101.617172,1934,-5.611792,5.010989,-46.88346,41.1566772,136.006042,48.0120964,41.9979858,33.0,40.9697571,2800.0,2849.59155,0.0,1.0,1.0,3.46,0.0,0.0,3.23,1.0,9.0,1.0,0.0,13.3,5.9,5.4,4580,4490.0,4360.0,0,0,0,0,1,0,0,18.7943745,62.13292,0.0,3.53628945,0.0,0.0,1,1,1,68.0,86.0,-5.57793427,25.9740257,85.0,5.6,2800.0,98.0
16/01/2025 00:03:00,6,42.9971924,60.00635,96.06204,-80.70476,12.8843918,4.22092772,869.359253,37.1047668,1214.563,68.0,86.05803,86.0,91.99054,1.0,-5.69114828,90.0,1273,358.199982,0.0,107.6441,775.9843,5.4416523,5.433977,85.0,6.0,40.9829559,85.0,86.9114151,58.677475,1.0,98.0,48.0,5.6,5.6,121.439346,101.750923,1444,-5.71309137,4.607505,-46.453495,40.74041,129.071457,51.9970245,39.01588,36.9603043,20.0396976,2800.0,2849.84888,0.0,1.0,1.0,3.46,0.0,0.0,3.23,1.0,9.0,1.0,0.0,13.3,5.9,5.4,4580,4490.0,4360.0,0,0,0,0,1,0,0,18.797533,64.19384,0.0,3.5363636,0.0,0.0,1,1,1,68.0,86.0,-5.4016,25.9740257,85.0,5.6,2800.0,98.0
16/01/2025 00:03:30,6,40.6162338,48.8065147,96.07035,-80.18853,13.17703,4.365886,869.2771,37.3991852,1214.6582,68.0,86.05818,86.0,91.99034,1.0,-5.49918461,90.0,1266,358.199982,0.0,107.65448,773.420532,5.44152164,5.43371725,85.0,6.0,40.8323669,85.0,86.219986,58.4079742,1.0,98.0,48.0,5.6,5.6,121.557457,100.159378,1453,-5.665109,4.427732,-46.5196152,40.8869362,132.004074,50.01018,39.01018,32.9959259,35.9959259,2800.0,2850.1062,0.0,1.0,1.0,3.46,0.0,0.0,3.23,1.0,9.0,1.0,0.0,13.3,5.9,5.4,4580,4490.0,4360.0,0,0,0,0,1,0,0,18.8708057,63.81365,0.0,3.53643751,0.0,0.0,1,1,1,68.0,86.0,-5.60884857,25.9740257,85.0,5.6,2800.0,98.0
16/01/2025 00:04:00,6,41.91032,54.5066833,96.07866,-79.7019653,13.4030933,4.34443951,869.5338,33.801178,1216.44263,68.0,86.0583344,86.0,91.99014,1.0,-5.4199934,90.0,1263,358.199982,0.0,107.664871,770.85675,5.44139051,5.43345737,85.0,6.0,40.4048233,85.0,85.56284,58.407692,1.0,98.0,48.0,5.6,5.6,121.675568,100.92485,1714,-5.48681355,4.57895136,-46.0908775,40.6340332,135.001968,50.0,39.0009842,33.9980354,21.0009823,2800.0,2850.36353,0.0,1.0,1.0,3.46,0.0,0.0,3.23,1.0,9.0,1.0,0.0,13.3,5.9,5.4,4580,4490.0,4360.0,0,0,0,0,1,0,0,18.9440765,63.4334564,0.0,3.53651166,0.0,0.0,1,1,1,68.0,86.0,-5.6667366,25.9740257,85.0,5.6,2800.0,98.0
16/01/2025 00:04:30,6,43.0091248,57.4833,96.08697,-79.98748,13.52738,4.316556,869.5346,37.2963562,1213.05383,68.0,86.0584946,86.0,91.9899445,1.0,-5.80159,90.0,1278,358.199982,0.0,107.675255,768.2929,5.44126,5.4331975,85.0,6.0,41.22702,85.0,85.5031052,59.29163,1.0,98.0,48.0,5.6,5.6,121.793678,101.690323,1414,-5.75102758,4.84645271,-46.9831734,41.25117,126.996964,47.006073,39.0,26.00911,36.987854,2800.0,2850.62085,0.0,1.0,1.0,3.46,0.0,0.0,3.23,1.0,9.0,1.0,0.0,13.3,5.9,5.4,4580,4490.0,4360.0,0,0,0,0,1,0,0,19.02811,63.0532646,0.0,3.53658557,0.0,0.0,1,1,1,68.0,86.0,-5.818207,25.9740257,85.0,5.6,2800.0,98.0
16/01/2025 00:05:00,6,40.81548,52.8,96.0952759,-79.89624,13.8769913,4.27404547,828.1488,35.6997,1214.66516,68.0,86.05865,86.0,91.98975,1.0,-5.834783,90.0,1262,358.199982,0.0,107.685646,765.7291,5.441129,5.43293762,85.0,6.0,41.4588852,85.0,85.81557,58.1447945,1.0,98.0,45.0,5.6,5.6,121.885277,102.455795,1406,-5.9084363,6.49452,-47.2791672,41.369957,120.981895,43.95775,38.98189,24.0241451,47.0,2800.0,2850.87817,0.0,1.0,1.0,3.46,0.0,0.0,3.23,1.0,9.0,1.0,0.0,13.3,5.9,5.4,4580,4490.0,4360.0,0,0,0,0,1,0,0,18.989296,63.0916061,0.0,3.53665972,0.0,0.0,1,1,1,68.0,86.0,-6.01485825,25.9740257,85.0,5.6,2800.0,98.0
16/01/2025 00:05:30,6,40.81546,54.6033134,96.10359,-78.6674042,13.8370247,3.42362976,828.2383,35.0009041,1214.65942,68.0,86.0588,86.0,91.9895554,1.0,-5.709654,90.0,1258,358.199982,0.0,107.69603,763.165344,5.440998,5.43267775,85.0,6.0,39.73354,85.0,86.03011,58.40788,1.0,98.0,45.0,5.6,5.6,121.73774,103.221268,1888,-5.523053,3.96177578,-45.26685,39.7467651,130.009033,49.0090256,38.0120354,31.99699,16.02708,2800.0,2851.1355,0.0,1.0,1.0,3.46,0.0,0.0,3.23,1.0,9.0,1.0,0.0,13.3,5.9,5.4,4580,4490.0,4360.0,0,0,0,0,1,0,0,18.9504833,63.2824326,0.0,3.53673363,0.0,0.0,1,1,1,68.0,86.0,-5.617485,25.9740257,85.0,5.6,2800.0,98.0
16/01/2025 00:06:00,6,40.827076,59.4741821,96.1119,-78.4493256,12.9141388,3.63701057,827.897766,36.806,1215.18909,68.0,86.05896,86.0,91.98936,1.0,-5.584524,90.0,1271,358.199982,0.0,107.706421,762.126648,5.44086742,5.432418,85.0,6.0,41.2068253,85.0,86.08633,58.7177467,1.0,98.0,45.0,5.6,5.6,121.5902,103.243774,1330,-5.52653933,4.48215055,-46.8077278,41.28048,135.930481,52.00993,39.0297928,33.9702072,26.0595818,2800.0,2851.39282,0.0,1.0,1.0,3.46,0.0,0.0,3.23,1.0,9.0,1.0,0.0,13.3,5.9,5.4,4580,4490.0,4360.0,0,0,0,0,1,0,0,18.91167,63.4732552,0.0,3.53680778,0.0,0.0,1,1,1,68.0,86.0,-5.572525,25.9740257,85.0,5.6,2800.0,98.0
16/01/2025 00:06:30,6,43.7445068,65.2745056,96.12021,-77.6734543,12.985158,4.064865,828.233337,37.0850639,1214.61963,68.0,86.05911,86.0,91.98916,1.0,-5.57245064,90.0,1270,358.199982,0.0,107.716805,763.0839,5.440737,5.432158,85.0,6.0,40.8057747,85.0,85.28616,58.1455574,1.0,98.0,45.0,5.6,5.6,121.442657,103.039955,1482,-5.70385027,4.51647043,-46.50355,40.86973,142.805786,49.04482,43.94024,31.02988,29.10458,2800.0,2851.65015,0.0,1.0,1.0,3.46,0.0,0.0,3.23,1.0,9.0,1.0,0.0,13.3,5.9,5.4,4580,4490.0,4360.0,0,0,0,0,1,0,0,18.872858,63.33791,0.0,3.53688169,0.0,0.0,1,1,1,68.0,86.0,-5.47806931,25.9740257,85.0,5.6,2800.0,98.0
