Timestamps,CM2_PV_PRODUCT,CM2_PV_BE01_CURRENT,CM2_PV_BE02_POWER,CM2_PV_BF01_OUT_TEMPERATURE,CM2_PV_BF01_PRESSURE,CM2_PV_BF01_DIF_PRESSURE,CM2_PV_BF01_DIF_PRESSURE1,CM2_FLOW_RATE_COAL,CM2_PV_CLA01_POWER,CM2_PV_CLA01_SPEED,CM2_SP_CLA01_SPEED,CM2_PV_DA01_POSITION,CM2_SP_DA01_POSITION,CM2_PV_DA02_POSITION,CM2_SP_PRESS_MODE,CM2_SP_PRESS_AUTO,CM2_SP_PRESS_MANUAL,CM2_PV_FN01_POWER,CM2_SP_GA01_SPM,CM2_PV_HG01_TEMPERATURE,CM2_PV_HG01_TEMPERATURE1,CM2_PV_HG01_TEMPERATURE2,CM2_PV_HYS01_PRESSURE,CM2_PV_HYS01_PRESSURE1,CM2_SP_RB01_MILL_TOTAL_FEED,CM2_SP_RB01_MODE_TOTAL_FEED,CM2_SP_RB01_SPA_TOTAL_FEED,CM2_SP_RB01_TOTAL_FEED,CM2_PV_RB01_TOTAL_FEED,CM2_PV_RF01_CURRENT,CM2_SP_VRM01_TEMP_MODE,CM2_SP_VRM01_TEMP_AUTO,CM2_SP_VRM01_TEMP_MANUAL,CM2_SP_VRM01_PRESS_GRIDING_1_3,CM2_SP_VRM01_PRESS_GRIDING_2_4,CM2_PV_VRM01_INLET_TEMPERATURE,CM2_PV_VRM01_OUTLET_TEMPERATURE,CM2_PV_VRM01_POWER,CM2_PV_VRM01_IN_PRESS,CM2_PV_VRM01_VIBRATION,CM2_PV_VRM01_OUT_ PRESS,CM2_PV_VRM01_DIFF_PRESSURE,CM2_PV_VRM01_POSITION1,CM2_PV_VRM01_POSITION2,CM2_PV_VRM01_POSITION3,CM2_PV_VRM01_POSITION4,CM2_PV_VRM01_VIBRATION1,CM2_SP_WI01_WATER_INJECTION,CM2_PV_WI01_WATER_INJECTION,CM2_AGREGADO_0,CM2_AGREGADO_1,CM2_AGREGADO_2,CM2_CALCARIO,CM2_CLINQUER,CM2_CLINQUERBW,CM2_ESCORIA,CM2_ESCORIA_DRY_PIT,CM2_GESSO,CM2_MIX,CM2_POZOLANA,CM2_LB_FINENESS_CPIIF,CM2_LB_FINENESS_CPIII,CM2_LB_FINENESS_CPVARI,CM2_LB_BLAINE_CPIIF,CM2_LB_BLAINE_CPIII,CM2_LB_BLAINE_CPVARI,CM2_ST_CLA01_SPEED,CM2_ST_DA01_POSITION,CM2_ST_WI01_WATER_INJECTION,CM2_ST_VRM01_PRESS_GRIDING_1_3,CM2_ST_RB01_TOTAL_FEED,CM2_ST_GAS01_ADDITIVE_INJECTION,CM2_ST_DA02_SPA_PRESS,CM2_PV_FLOW_CALCARIO,CM2_PV_FLOW_CLINQUER,CM2_PV_FLOW_ESCORIA,CM2_PV_FLOW_GESSO,CM2_PV_FLOW_MIX,CM2_PV_FLOW_POZOLANA,CM2_ST_IA_ENABLE,CM2_ST_IA_READY,CM2_ST_IA_USE,CM2_IA_CLA01_SP_SPEED,CM2_IA_DA01_SP_POSITION,CM2_IA_DA02_SPA_PRESS,CM2_IA_GAS01_SP_FLOW_AID,CM2_IA_RB01_SP_TOTAL_FEED,CM2_IA_VRM01_SP_PRESS_GRIDING,CM2_IA_WI01_SP_WATER_INJECTION,CM2_IA_SC01_SPA_TEMP_OUT
16/02/2025 00:00:00,6,45.2125549,71.0637741,92.73056,-62.94584,11.9077187,4.341478,922.288452,44.74544,1259.23828,70.5,90.8692856,90.0,93.73053,0.0,-5.0,94.14412,1297,300.0,0.0,105.170761,764.4792,5.506022,5.549857,89.5,6.0,43.468338,89.5,91.3337555,68.41388,1.0,102.0,52.0,5.5,5.5,115.98674,98.72905,1388,-5.09441376,4.37808228,-48.5211754,43.4448929,98.0439453,47.0769043,34.9780273,29.9890137,44.72534,3300.0,3193.278,0.0,1.0,1.0,7.41,0.0,0.0,3.23,1.0,8.82,1.0,0.0,13.3,5.9,5.8,4790,4490.0,4240.0,0,0,0,0,1,0,0,21.0638733,66.69057,0.0178821664,4.090517,0.0,0.0,1,1,1,70.5,90.0,-5.0,25.9740257,89.5,5.5,3300.0,102.0
16/02/2025 00:00:30,6,45.0419044,61.19821,92.73553,-62.01902,12.4089727,3.64193344,922.372437,41.6988029,1260.02148,70.5,90.87055,90.0,94.60833,0.0,-5.0,93.57917,1284,300.0,0.0,105.21904,762.4535,5.48210764,5.52000952,89.5,6.0,42.46754,89.5,92.5731049,68.75827,1.0,102.0,52.0,5.5,5.5,116.217735,99.02343,1715,-4.871637,4.964929,-47.18174,42.31188,100.982094,47.0805664,32.0,35.9731445,23.0089512,3300.0,3193.21582,0.0,1.0,1.0,7.41,0.0,0.0,3.23,1.0,8.82,1.0,0.0,13.3,5.9,5.8,4790,4490.0,4240.0,0,0,0,0,1,0,0,21.0052071,66.82855,0.0178003013,4.0905304,0.0,0.0,1,1,1,70.5,90.0,-5.0,25.9740257,89.5,5.5,3300.0,102.0
16/02/2025 00:01:00,6,43.93254,49.99761,92.7404861,-62.72309,11.7460508,4.26541567,922.2243,45.2973061,1258.7334,70.5,90.8718262,90.0,94.59517,0.0,-5.0,92.90235,1301,300.0,0.0,105.267326,762.5056,5.51268148,5.559982,89.5,6.0,43.13786,89.5,92.43174,68.1380539,1.0,102.0,52.0,5.5,5.5,116.4138,99.13774,1562,-5.055462,3.86086631,-48.1766319,43.09447,96.9840546,53.976,33.0318871,36.96014,27.3183537,3300.0,3193.15356,0.0,1.0,1.0,7.41,0.0,0.0,3.23,1.0,8.82,1.0,0.0,13.3,5.9,5.8,4790,4490.0,4240.0,0,0,0,0,1,0,0,21.01879,66.65042,0.0177184381,4.090544,0.0,0.0,1,1,1,70.5,90.0,-5.0,25.9740257,89.5,5.5,3300.0,102.0
16/02/2025 00:01:30,6,45.9413452,67.1238861,92.74545,-62.19912,12.1854668,4.29062,922.430969,43.89407,1258.99609,70.5,90.8731,90.0,94.582,0.0,-5.0,92.48899,1286,300.0,0.0,105.315605,763.757446,5.480228,5.524257,89.5,6.0,42.84176,89.5,92.0466,68.13547,1.0,102.0,52.0,5.5,5.5,116.609871,98.9821854,1977,-4.98251,4.484771,-47.69565,42.8673744,100.019859,54.9604568,32.049427,30.0197716,20.9703426,3300.0,3193.09155,0.0,1.0,1.0,7.41,0.0,0.0,3.23,1.0,8.82,1.0,0.0,13.3,5.9,5.8,4790,4490.0,4240.0,0,0,0,0,1,0,0,21.054287,66.47229,0.0176365729,4.09055758,0.0,0.0,1,1,1,70.5,90.0,-5.0,25.9740257,89.5,5.5,3300.0,102.0
16/02/2025 00:02:00,6,44.11029,56.5249672,92.75041,-61.98515,11.8650827,3.693221,922.496155,43.5993,1257.62891,70.5,90.87437,90.0,94.56884,0.0,-5.0,92.0612946,1282,300.0,0.0,105.363884,765.0092,5.49213028,5.54315042,89.5,6.0,42.59952,89.5,91.8773956,67.8761,1.0,102.0,52.0,5.5,5.5,116.805946,98.82663,1672,-4.775677,4.223059,-47.3462143,42.5803871,97.0500259,52.989994,31.009964,37.0200081,22.0400181,3300.0,3193.0293,0.0,1.0,1.0,7.41,0.0,0.0,3.23,1.0,8.82,1.0,0.0,13.3,5.9,5.8,4790,4490.0,4240.0,0,0,0,0,1,0,0,21.0897846,66.29415,0.0175547078,4.0905714,0.0,0.0,1,1,1,70.5,90.0,-5.0,25.9740257,89.5,5.5,3300.0,102.0
16/02/2025 00:02:30,6,44.2992668,51.6044044,92.75538,-61.9552422,11.8816214,4.33483839,922.2538,41.8968,1259.93726,70.5,90.87564,90.0,90.14791,0.0,-5.0,91.50762,1276,300.0,0.0,105.412163,766.261,5.50399637,5.54700851,89.5,6.0,42.58524,89.5,90.63516,68.75964,1.0,102.0,52.0,5.5,5.5,117.002014,98.6710739,1614,-5.043879,4.05169868,-47.6290665,42.5152321,104.012009,51.004,35.9919968,33.004,20.0280132,3300.0,3192.967,0.0,1.0,1.0,7.41,0.0,0.0,3.23,1.0,8.82,1.0,0.0,13.3,5.9,5.8,4790,4490.0,4240.0,0,0,0,0,1,0,0,21.1252823,65.13449,0.0174728427,4.09058475,0.0,0.0,1,1,1,70.5,90.0,-5.0,25.9740257,89.5,5.5,3300.0,102.0
16/02/2025 00:03:00,6,44.4852943,60.1770821,92.7603455,-62.1141357,11.9941788,3.385617,922.431458,42.0960159,1260.27844,70.5,90.87691,90.0,90.1539,0.0,-5.0,91.8338852,1286,300.0,0.0,105.460449,767.532043,5.507987,5.546987,89.5,6.0,42.49802,89.5,90.69751,69.02655,1.0,102.0,52.0,5.5,5.5,117.002136,98.51552,1832,-5.039912,4.181944,-47.3433876,42.50834,106.980515,51.0498238,34.980072,35.980072,22.0465012,3300.0,3192.905,0.0,1.0,1.0,7.41,0.0,0.0,3.23,1.0,8.82,1.0,0.0,13.3,5.9,5.8,4790,4490.0,4240.0,0,0,0,0,1,0,0,21.16078,66.0745544,0.0173909776,4.09059858,0.0,0.0,1,1,1,70.5,90.0,-5.0,25.9740257,89.5,5.5,3300.0,102.0
16/02/2025 00:03:30,6,45.2198639,58.69828,92.7653046,-62.4238,11.449111,4.31670952,922.357239,41.30334,1261.5387,70.5,90.87818,90.0,90.15989,0.0,-5.0,91.97165,1284,300.0,0.0,105.508728,769.3576,5.49700737,5.53902,89.5,6.0,43.0059929,89.5,92.27753,68.1415939,1.0,102.0,52.0,5.5,5.5,116.80648,98.35996,1493,-5.11579752,4.355053,-48.15029,43.0444,103.006073,53.993927,33.99899,36.9969635,16.6696568,3300.0,3192.84277,0.0,1.0,1.0,7.41,0.0,0.0,3.23,1.0,8.82,1.0,0.0,13.3,5.9,5.8,4790,4490.0,4240.0,0,0,0,0,1,0,0,21.1253128,66.54684,0.0173091125,4.090612,0.0,0.0,1,1,1,70.5,90.0,-5.0,25.9740257,89.5,5.5,3300.0,102.0
16/02/2025 00:04:00,6,44.84928,63.8,92.77027,-61.9358,11.952981,4.293426,922.2322,41.8,1259.48779,70.5,90.8794556,90.0,90.16588,0.0,-5.0,92.02865,1289,300.0,0.0,105.557007,771.1831,5.51300049,5.556005,89.5,6.0,42.455368,89.5,92.24958,68.14119,1.0,102.0,52.0,5.5,5.5,116.610825,98.20441,1648,-5.06597471,4.862594,-47.4727631,42.37144,104.0,50.0,32.0,34.0,22.0,3300.0,3192.78052,0.0,1.0,1.0,7.41,0.0,0.0,3.23,1.0,8.82,1.0,0.0,13.3,5.9,5.8,4790,4490.0,4240.0,0,0,0,0,1,0,0,21.0819626,66.74853,0.01722725,4.090626,0.0,0.0,1,1,1,70.5,90.0,-5.0,25.9740257,89.5,5.5,3300.0,102.0
16/02/2025 00:04:30,6,43.0154457,53.8792534,92.77523,-61.8795471,11.4620256,4.03673458,922.288452,44.09721,1258.59644,70.5,90.88072,90.0,90.171875,0.0,-5.0,92.77318,1296,300.0,0.0,105.605293,773.008667,5.503108,5.554068,89.5,6.0,42.5127029,89.5,91.97734,67.52336,1.0,102.0,52.0,5.5,5.5,116.415169,98.04884,1925,-5.095525,4.13080454,-47.8132477,42.56022,103.027931,52.00798,35.99202,34.99601,20.019949,3300.0,3192.71851,0.0,1.0,1.0,7.41,0.0,0.0,3.23,1.0,8.82,1.0,0.0,13.3,5.9,5.8,4790,4490.0,4240.0,0,0,0,0,1,0,0,21.0386143,66.9502258,0.0171453841,4.090639,0.0,0.0,1,1,1,70.5,90.0,-5.0,25.9740257,89.5,5.5,3300.0,102.0
